address,operator_address,moniker,tier,allocation
terp1uq757nfy3hltz80nw4k95ss9x4zldhpqflzaxx,,,1,3
terp1uwearr5tr8vuphacfqglfg52vmk8f2a0ccpxgt,,,1,3
terp1uzlkcqs7ymrfwhzgg3xnjnekr7x39vewta58zv,,,1,3
terp1v54xm78phkgutgnu9mmhu3rsw8c7xm3awpgs4y,,,1,3
terp1v5fq05qx38vgjeagy5k80z2rrfzrfar2w8hp6q,,,1,3
terp1v5x7d2csz5vwz48p6wkj4j2y884e0ade5gnafn,,,1,3
terp1veqxqcasg6u9jvmxg6tlhqm0stk7m7k6qn0rxm,,,1,3
terp1vgmslv3tc4r0kfzq3mpdugrkkn7sxq3ej8q5m5,,,1,3
terp1vqp88kzuvllwr57m6r38dghy6w64qvv7rwmua7,,,1,3
terp1vuy6azcmpngnctx8rnc3wzzvldceg0uewxjadd,,,1,3
terp1vwrlxrxqc7gwm3a7nj73xgcsnk7krjrr6709f6,,,1,3
terp1vxhywak9u2hm3v40u054cfrq2w87zr247yyq86,,,1,3
terp1vxqe8xmtdwe46kaggv38pgk66esy3xaeffvwc9,,,1,3
terp1wahvxtx7grgtez8p84wqrf7vyegxqqhxh9pr23,,,1,3
terp1we50lf9sw27w6d33z5mukygdcldyganhqy6w3x,,,1,3
terp1wf2sz3y6ngh42jdn35tduad9ayhnf8paf9k0nw,,,1,3
terp1wfdkvf5qywhr6ky6srmcldy0j5adxshe2kytsg,,,1,3
terp1whdmfsy92jreqahpd6lwmwqxsjmkkxta6z9cqw,,,1,3
terp1wjxgez2l3yekqwrm2tlgjfhmwce8t4f0c3narq,,,1,3
terp1wnlvwnumm7crl8eqk9pkztzjus0s74xrdj2hg2,,,1,3
terp1wvy9nv3pgxnj6q9qvcllwk8txzgwr5zusts2um,,,1,3
terp1wy5rlr4l5gury0evnhwdknyj9xx5gjts0w4axk,,,1,3
terp1x4nsrhgak74fne0gv66alfje64cqgfs8spmf7y,,,1,3
terp1xcvjj09y9y74a3halfnrhjpp7yyqay4k267nu8,,,1,3
terp1xpyqxhyg742e4p9323676mqqzwe730e9e6l2gt,,,1,3
terp1y47jfdvnt4p3jt5y0wdavy3fmsx9zaqnntc5q9,,,1,3
terp1y4e53uwpevedz9qjfvw7x0qndp72u54z48vv8z,,,1,3
terp1y4t8hfc4eccuyzwr4nlrs539gmm3v7g6wq9twv,,,1,3
terp1ye5ugf3u4hn3j3hgakfc8rjgr5wrpwwrq79p7a,,,1,3
terp1ygm9uvuq23jaf758ywsxw76glc8e8fjmghcksu,,,1,3
terp1yk8anx9kam5ep6ajkwhvd9dy2wqrfkvuuvjhy6,,,1,3
terp1yqvxyhzqd4e6mg6hhd0x08jr5yg6mdzje5wuee,,,1,3
